area_sqft,floors,city,property_type,quality,bricks,cement_bags,sand_cft,steel_kg,water_litres,pop_kg,paint_litres,tiles_sqft,aggregate_cft,labour_days,working_days,total_cost_inr
2250,1,mumbai,industrial,standard,92066,1381,4853,10404,93871,2168,722,881,3847,2481,339,7253253
4150,2,pune,residential,standard,335502,5150,20890,50179,350438,7209,3119,3140,11514,7859,1193,20699086
4300,1,pune,residential,premium,257559,4174,13711,37512,191353,4882,2010,1533,8349,6976,967,16842884
4750,2,ahmedabad,residential,basic,248771,4134,15019,28663,438713,7005,2648,4265,9996,6060,1102,14326379
3000,2,ahmedabad,commercial,standard,263400,3919,15542,35428,292218,5337,2025,2546,9383,6390,960,12085110
5000,2,lucknow,residential,standard,310447,4742,18718,35907,457696,6691,3145,4083,11453,7089,1414,18597676
3000,4,delhi,residential,standard,509912,8102,28348,65011,522686,8113,3973,4334,20726,12400,1743,32536059
2300,2,pune,commercial,standard,262653,4204,13067,31616,207052,4550,1778,1787,10508,6348,629,12257103
4700,1,bangalore,residential,standard,198816,3373,12916,32191,192080,3057,1618,2016,7423,4878,769,12798547
4300,1,chennai,residential,premium,252481,4209,14012,39095,185361,4541,2302,1589,8723,7002,971,17108194
3000,3,lucknow,residential,standard,295268,4196,13853,32386,429385,7621,2996,3771,9873,6682,1332,17549963
2700,3,pune,commercial,standard,462244,7175,25070,51761,377331,6837,2466,3210,18863,10572,1300,21813184
1100,4,lucknow,residential,premium,197774,2748,11138,26518,200217,5582,2149,1582,7459,4773,967,12170158
2800,3,mumbai,residential,basic,331083,5712,17732,46125,375500,4538,2588,3352,14406,9579,937,19988126
3300,2,ahmedabad,commercial,premium,386329,6124,20654,50864,271715,6822,3483,2469,13474,10145,1398,21726762
1200,2,delhi,residential,standard,107944,1465,6141,14823,111082,1977,815,963,3320,2376,387,6312686
1850,2,kolkata,residential,standard,126489,2205,7363,18074,177069,3603,1269,1335,5476,3433,532,8299122
4500,3,delhi,residential,standard,557261,9323,36285,77941,559667,12122,4729,5998,21422,14366,2062,37049732
4300,1,bangalore,residential,standard,205382,3205,10980,24482,196099,3735,1672,1760,7436,4573,656,11602001
2450,5,bangalore,residential,premium,834010,11862,43073,89269,575823,16586,5343,4999,27842,19195,2441,51136930
3950,2,delhi,commercial,standard,472507,6595,23272,64116,369787,7728,2930,3516,17842,11015,1276,20328748
4050,1,hyderabad,residential,basic,131878,1900,7089,15134,180610,2327,992,1725,4768,2937,474,7451420
2050,3,bangalore,residential,basic,238444,3762,13118,27878,303979,4278,1698,2272,8482,5512,790,13116932
2250,2,lucknow,residential,standard,131796,2220,6968,20451,223709,3869,1582,2021,5981,3748,619,8516683
1200,2,lucknow,industrial,standard,61448,837,2996,8342,96887,2240,937,945,2014,1477,357,4541578
1400,1,kolkata,residential,premium,65018,1104,4042,8942,58398,1218,677,512,2595,1669,285,4494050
3300,1,pune,residential,basic,113361,1643,5737,17117,143507,2293,859,1204,3630,2569,413,6198788
2600,1,delhi,residential,premium,162316,2670,9771,21579,123945,3308,1100,1105,6311,4290,503,10428693
1100,4,mumbai,industrial,standard,187560,2683,9034,19841,210398,3489,1441,1579,6210,4977,661,13881163
2550,1,bangalore,commercial,standard,141234,2456,8201,17003,115332,2512,782,1051,5740,4152,350,7197216
1250,1,bangalore,residential,standard,61126,872,3270,8610,50750,964,419,465,2069,1379,203,3471396
4050,2,delhi,residential,premium,509570,6899,26706,67072,328680,7002,4073,3599,19149,12019,1847,31434092
650,3,hyderabad,commercial,basic,84707,1322,4887,12612,94987,1155,505,834,3084,2004,254,3609951
3100,2,pune,residential,basic,212917,2954,11377,26809,251747,3183,1522,2414,6825,5235,769,11949219
2550,3,ahmedabad,residential,premium,358307,5296,20196,41735,314709,10208,3219,3390,13469,9362,1695,24525104
3300,1,chennai,residential,standard,147473,2119,8436,19900,133575,3277,994,1257,4740,3607,516,8931373
550,4,delhi,residential,standard,98685,1349,5308,11857,89451,1820,690,893,3963,2218,312,6046771
3000,2,chennai,residential,standard,262002,3996,13933,38530,295943,5066,2108,2548,8434,5684,917,15529928
4350,1,bangalore,residential,basic,153615,2380,9253,18691,197834,2404,1316,1557,5665,3544,513,9235024
450,3,delhi,residential,basic,44312,693,2798,5165,66680,1056,409,569,1495,1305,155,2630404
3000,2,ahmedabad,residential,standard,219255,3462,10970,22960,259786,5974,2064,2486,6629,4716,922,12347470
4100,2,kolkata,residential,basic,234079,3400,13268,29835,406339,5239,2441,2987,7946,5709,938,12917680
2550,2,pune,commercial,basic,238344,3138,13571,28262,204225,2456,1520,2179,7013,5279,612,9720347
800,2,chennai,commercial,standard,92151,1440,4489,10138,67164,1269,577,681,2898,2066,218,4242138
4750,1,chennai,residential,basic,163463,2620,9629,19507,192379,2712,1349,2056,6802,4243,626,9670429
1350,1,jaipur,industrial,standard,36738,582,1915,4339,61376,995,410,484,1253,878,200,2801001
2550,1,ahmedabad,residential,standard,83855,1341,5293,9721,117304,2434,981,940,3281,2330,375,5218644
2850,2,bangalore,residential,standard,274718,3630,15413,31896,276365,5289,1754,2552,8914,5827,784,16358298
2500,3,lucknow,residential,standard,234835,3758,14208,25075,301090,6469,2456,3015,7152,5845,1015,13992942
1550,4,jaipur,residential,standard,202352,3309,12393,29794,255687,4099,2248,2718,6821,4866,1004,12670020
3550,3,mumbai,industrial,standard,450206,7306,23847,54931,495379,9057,3590,4420,18765,11437,1615,33269433
4000,1,mumbai,residential,premium,293109,4628,17265,32770,163060,5487,2074,1746,9402,6694,904,18358491
2050,1,bangalore,residential,basic,72475,1251,4357,8711,90280,1177,572,799,2868,1869,233,4310152
3500,2,lucknow,residential,basic,170485,2459,10012,23052,313241,4707,2168,3018,7206,4358,822,9680291
4550,1,chennai,residential,standard,195873,2964,11726,25797,209537,4431,1576,1687,8230,5305,651,12058891
1250,3,pune,residential,premium,229665,3320,12704,33155,157409,3578,1693,1629,8337,5297,858,14085212
3200,2,kolkata,residential,standard,235059,3446,12784,34303,264655,5647,2529,2310,7584,5231,975,14322245
3700,2,ahmedabad,industrial,premium,265326,4483,17188,39327,326053,6652,3605,3059,11127,7640,1475,24415124
1850,2,kolkata,industrial,standard,101758,1589,5631,11840,153945,3680,1179,1423,3264,2513,556,7980844
4150,3,kolkata,residential,standard,456398,6811,22529,49707,578168,8141,3919,5372,14973,10905,1683,27794096
4650,5,hyderabad,residential,standard,904782,15551,51069,113479,1104807,18151,8554,8253,34459,26063,3417,56593962
3900,2,jaipur,residential,premium,368719,5989,17524,40330,358913,10015,3767,2946,13063,9270,1663,22260501
3650,2,delhi,commercial,basic,311416,4616,17856,41394,313270,4178,2059,2569,14295,9182,873,14829845
4500,2,pune,residential,standard,372119,6258,19045,47958,373237,7664,3359,4013,14488,8962,1221,23708032
1950,4,hyderabad,commercial,basic,305511,5332,18155,44604,361046,5145,2423,2752,10444,7648,937,15328349
700,4,hyderabad,residential,standard,115946,1591,6632,13142,129103,2484,966,1004,3860,2477,422,7348864
1650,2,bangalore,residential,standard,159051,2109,8462,20202,136630,2213,1266,1482,5475,3575,467,9057883
2500,2,hyderabad,residential,basic,156317,2389,9574,23964,226206,3320,1413,2054,5026,4018,582,9576431
3500,2,lucknow,residential,standard,201638,3238,10799,24535,325462,6150,2242,2984,9106,5722,1115,12906850
4900,4,ahmedabad,industrial,premium,718418,10931,40213,102053,891383,21591,9863,8233,24543,16569,3802,63216542
3250,2,hyderabad,commercial,standard,320270,5174,17037,46686,321161,5211,2207,2503,12359,8901,904,16267060
3900,5,delhi,residential,premium,1221372,18078,69790,139643,836256,17117,10210,8467,46121,28153,4487,81026853
600,1,delhi,residential,basic,19686,292,1164,2369,25303,442,164,242,888,569,68,1165008
3650,4,lucknow,residential,standard,449219,6809,23485,59030,703867,11213,5379,6099,14249,11164,2303,27651889
3200,3,delhi,residential,standard,390358,6303,23908,61997,443605,7360,2991,3746,14779,9550,1317,24934458
3700,1,ahmedabad,residential,standard,133769,1956,7368,14911,149135,3314,1143,1555,4240,3079,526,7508322
4550,2,jaipur,residential,premium,398225,6670,23583,49196,388262,8410,4876,3344,13503,8991,2002,28484448
3250,2,ahmedabad,residential,standard,233888,3138,11967,25564,315185,5171,2487,2393,8631,5317,1008,13658185
2650,5,lucknow,industrial,standard,310712,5209,16225,40510,611202,9219,5089,5477,11258,8668,2184,26390210
2950,2,jaipur,commercial,standard,231186,3715,15074,37001,272343,5670,1858,2526,8472,5750,859,11689398
3350,2,lucknow,residential,premium,306272,4626,16280,35195,273167,9108,3725,2740,9402,7412,1526,18351637
1050,2,lucknow,residential,premium,88366,1317,5263,12556,86707,2094,1034,893,3399,2154,467,6013314
3250,4,hyderabad,residential,standard,566506,8694,31313,59519,582986,8789,4394,5526,17570,13768,2065,31675511
1850,4,jaipur,residential,standard,240753,3831,11918,28564,326271,5530,2286,3070,9581,5968,1122,14239972
700,1,hyderabad,residential,premium,37109,636,2447,6049,33458,781,365,292,1231,901,149,2576650
700,1,mumbai,industrial,standard,29020,448,1531,4317,31186,423,257,253,978,730,99,2144238
4050,2,mumbai,residential,standard,426210,6146,24993,58189,341623,5584,2765,2836,15090,11106,1096,25675035
3200,2,pune,residential,basic,204336,3307,11529,23881,300427,3289,1692,2299,6705,5483,717,12841616
3250,1,delhi,residential,basic,119134,1922,5938,14940,155769,2111,954,1256,4651,2784,376,6401620
3300,2,pune,residential,standard,279441,4287,15994,35367,322460,4903,2599,2869,11037,6316,907,17766470
1400,1,delhi,industrial,standard,49823,718,2701,6097,68561,937,511,494,1849,1320,190,3832878
3450,3,bangalore,residential,standard,456880,7592,24220,61489,476965,7494,3374,4616,19887,11093,1572,29700749
1100,3,chennai,industrial,standard,103496,1722,5656,14047,161456,2666,1089,1480,4196,2716,484,8967448
2600,3,bangalore,residential,standard,354846,5452,18300,48947,330525,5217,2341,3253,14869,9339,1244,22211703
4350,1,ahmedabad,commercial,premium,253713,4260,16055,40023,178970,4105,2312,1580,11457,6503,874,13834582
4450,2,kolkata,residential,standard,319010,4433,19039,47212,432900,8549,2765,3534,10889,7338,1235,20104935
2050,4,pune,commercial,premium,664690,10574,36573,81844,331238,10495,4168,3540,19944,15665,1884,33082038
3450,3,ahmedabad,commercial,standard,438908,6891,25955,49462,444632,7426,3391,3817,18755,10798,1435,21197212
2300,2,hyderabad,commercial,basic,179634,3235,10494,28700,195948,2949,1431,1855,8138,4453,551,8302653
2700,2,hyderabad,industrial,standard,184792,2612,9681,24696,256118,4053,1745,2417,7545,4190,770,12866378
1100,5,jaipur,commercial,standard,227654,3538,12897,27867,243409,4311,2142,2430,7568,5466,767,10715929
2850,5,pune,residential,premium,830429,12596,45337,109340,613456,12617,7548,6188,33457,19185,2894,55251251
2000,1,pune,commercial,standard,115204,1568,5476,15982,88771,1628,648,831,3941,2624,292,5415216
3400,1,chennai,residential,standard,154496,2414,8148,17242,169923,3349,1157,1247,4499,3301,525,8699720
2000,1,mumbai,commercial,standard,141854,2264,8175,19353,85530,1273,670,736,4845,3461,293,6713186
2550,2,delhi,residential,premium,306753,5157,18430,46845,239359,5195,2489,2172,9666,7863,1083,20367470
3400,3,ahmedabad,residential,basic,259927,4529,15654,31070,485521,4969,2462,3835,11377,7541,1319,15726589
2050,3,hyderabad,residential,standard,239188,3799,13909,31366,278527,4114,2168,2489,9024,6011,972,15522633
1250,1,jaipur,commercial,standard,54384,739,3117,6086,57700,1136,382,501,2105,1451,187,2562447
2550,4,lucknow,commercial,premium,610200,8967,33615,72419,439029,11913,5582,4011,21311,14760,2293,28255236
2550,5,kolkata,residential,standard,465499,6975,24045,66897,611156,7860,4797,5621,15939,12330,1909,27395755
1850,5,mumbai,residential,standard,503263,8019,29358,57913,415924,6444,3413,4051,15052,13265,1389,30948232
2450,2,delhi,residential,standard,199433,3153,10816,24730,214257,3632,1772,1972,7514,4979,749,12979363
2200,1,chennai,residential,standard,88032,1495,5671,12212,108298,1753,667,878,3470,2534,331,5439032
4900,2,jaipur,commercial,premium,579469,9460,28635,77118,438956,8340,5064,4066,19338,12910,1931,29053507
4500,5,jaipur,residential,standard,779400,10957,43160,82738,1053210,13811,7616,9434,30567,18566,3387,43411031
4650,2,kolkata,commercial,standard,400949,6470,23785,64517,405413,7236,3599,4152,14538,9980,1452,19892334
2900,3,chennai,residential,standard,393382,5717,20437,40857,394767,7661,3461,3508,12820,9041,1389,22258453
2850,3,delhi,commercial,standard,523572,7262,29354,59767,422881,6856,2953,3503,15466,11091,1226,24095028
3100,2,bangalore,residential,standard,296486,4096,16149,30633,248526,3775,1994,2367,10171,7808,1019,17068154
1300,1,chennai,residential,basic,46922,637,2211,6428,62003,771,384,492,1401,1008,153,2422657
1600,2,kolkata,residential,standard,112603,1766,6661,12772,139403,2940,1201,1271,4693,2913,494,7130098
2850,5,bangalore,residential,premium,976056,13911,55138,110370,695516,13917,7913,5752,30042,21692,3019,56978301
3550,2,ahmedabad,residential,basic,201826,3017,11482,26605,309630,5215,2155,2890,7089,5274,891,10654883
3100,1,jaipur,residential,standard,100474,1542,5729,12231,128464,2519,1192,1214,3210,2574,467,6495435
4400,2,ahmedabad,residential,standard,320852,4866,17429,34184,355632,7684,3236,3158,9274,7328,1447,18442452
4000,2,jaipur,industrial,standard,221312,3153,12611,27314,351436,6167,3046,2833,6453,5552,1150,15521738
4450,1,mumbai,residential,basic,192579,2586,11339,25089,210634,2365,1196,1730,5953,4419,539,10198544
750,1,delhi,residential,premium,42532,653,2706,6656,33896,1017,343,333,1865,1128,163,2980187
1900,2,delhi,residential,standard,158202,2580,9370,21649,159376,3108,1270,1597,6644,4451,561,10140127
1900,1,delhi,residential,standard,88572,1323,4125,10465,94943,1287,664,816,2710,2181,270,5174619
3100,1,chennai,residential,basic,99304,1598,6290,13324,149440,2192,971,1230,3439,2700,406,6253486
3600,2,delhi,residential,premium,413626,7214,24476,61897,299842,6516,3782,3204,14217,9618,1396,30565004
1200,3,bangalore,residential,basic,134743,1907,7643,19484,162059,2854,1036,1480,4914,3396,469,7856192
4400,1,kolkata,residential,standard,149630,2250,9325,22687,207656,3545,1510,1730,6684,3436,647,10149307
400,3,delhi,industrial,standard,42548,678,2518,6299,49383,999,452,467,1534,1112,165,3314741
4800,2,chennai,residential,premium,592615,9378,34297,84600,451377,10459,4199,3877,22876,13102,1924,36720262
650,1,delhi,residential,standard,27786,442,1513,4316,26502,420,245,228,1130,625,92,1814462
3200,2,ahmedabad,residential,standard,229086,3579,13336,23848,310679,5853,2254,2791,8043,5657,971,12938039
2500,4,lucknow,residential,standard,326888,4782,16339,46765,403885,6967,3413,4069,10046,7548,1590,19407516
2350,1,bangalore,residential,premium,140395,2073,7721,20811,114904,2944,1150,905,5387,3906,448,10342267
1600,2,mumbai,commercial,standard,205165,3570,10905,24729,141158,2915,1194,1357,9266,5653,489,9792706
4050,1,lucknow,residential,standard,118762,2079,6546,15299,168038,2499,1247,1465,4394,3082,606,7743683
3400,1,ahmedabad,residential,standard,114947,1880,6014,14825,137693,2105,1137,1340,4415,2807,470,6916842
4650,1,pune,residential,premium,288498,4594,14774,30242,228238,4474,2508,1988,9065,6390,1065,17725976
2700,1,lucknow,residential,premium,117394,1689,6132,12796,128699,3301,1389,1052,4259,3230,550,8077269
800,1,chennai,residential,basic,25734,415,1538,3746,35262,493,235,335,1031,635,87,1606273
1800,3,ahmedabad,residential,standard,188419,2908,10923,28282,228374,3332,2114,2139,6346,5046,829,11640207
2750,1,mumbai,residential,basic,111099,1852,6798,14949,119391,1788,697,1103,4422,2915,330,6839226
950,2,mumbai,commercial,basic,106164,1670,5562,13249,76403,988,587,709,3388,2366,227,4759027
2550,4,mumbai,commercial,standard,705813,9841,40141,101555,444402,6459,3225,4263,25084,18474,1535,32233396
4950,1,lucknow,residential,basic,119987,1717,7037,13894,222925,3246,1581,2143,5206,2917,619,7353034
5000,4,ahmedabad,residential,standard,703382,10207,40928,91223,841525,18863,6211,8968,28607,17238,2959,41885867
3450,1,bangalore,residential,basic,127508,1972,6347,19020,163826,2307,855,1490,5166,3139,377,7151695
4150,2,hyderabad,commercial,basic,332952,5841,20815,49022,367405,5174,2376,3030,15089,8135,1062,15303771
1450,3,kolkata,commercial,basic,155334,2538,8594,19242,185692,3238,1245,1678,6079,4059,564,7344724
1700,1,chennai,commercial,basic,73062,1152,3790,10894,80236,1280,503,626,2839,1956,220,3317326
4350,1,pune,residential,basic,138250,2076,8207,18594,178651,2426,1277,1949,5077,3270,562,8811625
3700,1,hyderabad,residential,basic,112385,1720,6195,13959,153788,1923,1182,1527,3705,3184,433,6801892
950,1,bangalore,residential,basic,36512,560,1950,4207,42182,602,238,395,1191,847,118,2061590
1800,3,lucknow,residential,premium,236165,3308,14183,31488,216883,6633,2380,2105,9893,5109,1132,14694688
2700,3,jaipur,residential,standard,262630,4000,15297,34435,359064,5691,3135,3534,8950,5762,1147,16944295
4550,4,kolkata,residential,premium,957837,14972,49662,110977,786153,21938,8418,7363,38008,23613,3725,59513445
3200,3,lucknow,residential,standard,284661,4757,17966,35552,396138,8143,3551,4251,12432,7859,1456,18738714
4100,5,hyderabad,residential,standard,823827,14019,48719,101583,979432,15122,8152,8623,27454,20334,3115,52154292
3550,2,pune,residential,premium,409951,6154,21657,59627,346897,8245,3551,2682,14057,9325,1534,27027403
800,4,hyderabad,industrial,standard,106558,1714,5968,11731,147441,2847,1187,1319,3901,2837,485,7961532
800,3,lucknow,commercial,basic,78869,1276,4180,8489,112019,1783,645,960,2963,2023,276,3261587
1600,2,hyderabad,residential,standard,122254,2150,6894,19853,158194,2756,1171,1416,5320,3430,464,7720463
4700,4,lucknow,residential,standard,536444,9280,34039,78219,864194,11518,6516,8218,23876,14525,2927,36727845
2100,1,hyderabad,residential,standard,91531,1437,5247,11346,96887,1681,683,929,3587,2076,346,5078890
3050,1,kolkata,residential,premium,157442,2271,8250,19057,122902,3363,1635,1295,5388,3315,695,10425696
3000,3,bangalore,commercial,standard,525537,7600,27310,67739,383092,8748,3462,3982,21646,13397,1292,24906711
4150,1,delhi,residential,premium,260331,4049,13817,31444,172325,5733,2227,1713,7923,5944,942,17412459
500,1,bangalore,residential,standard,23706,337,1135,3035,21079,327,181,175,819,603,81,1375452
4050,5,delhi,industrial,basic,558204,9497,32207,86932,857749,10892,6408,8161,23674,14943,2371,42485844
4150,1,mumbai,residential,premium,292594,4437,16866,40453,175984,5306,1992,1847,10443,7097,908,19653156
2300,1,kolkata,residential,standard,76330,1169,4330,12027,111861,1521,803,841,3286,2071,316,5177333
4050,1,mumbai,commercial,premium,381973,6168,20169,43489,173389,4180,1924,1492,15244,8727,804,20309028
2000,1,kolkata,commercial,premium,136211,2048,7948,16590,87498,2184,1018,803,4950,3203,460,6780145
1150,1,ahmedabad,commercial,premium,66172,1060,3961,8928,47120,979,572,467,2421,1566,221,3670853
1450,2,delhi,residential,basic,108544,1709,5697,13226,134533,2154,714,1231,3702,2610,316,6118875
1850,3,bangalore,residential,standard,262577,3529,14840,29443,232706,4724,1944,2045,8361,5459,751,15310103
1600,2,jaipur,residential,standard,101487,1694,5292,11805,159541,2134,1095,1345,3982,2523,527,6373294
3300,4,delhi,commercial,standard,741384,11666,45000,109087,632173,10574,4286,4664,30901,16885,1989,35562260
1450,3,pune,residential,basic,149326,2217,7732,21413,198712,2385,1151,1650,4603,3236,497,8362665
1100,2,chennai,residential,basic,72393,1243,3674,9912,108560,1101,599,862,2988,1666,277,4117330
4200,2,chennai,residential,premium,521848,6922,28751,65366,345067,9708,3607,3495,16210,13145,1856,32447133
1900,1,lucknow,residential,basic,46502,713,2712,5205,87709,1068,486,805,1836,1119,217,2573991
600,3,kolkata,residential,premium,89910,1327,4909,10135,85761,1804,975,647,3179,2325,360,5965066
1400,1,bangalore,residential,standard,59906,999,3264,7743,57911,1024,474,621,2505,1650,217,4047946
4500,4,hyderabad,commercial,standard,1012014,13189,51641,137063,839223,17432,6903,7880,35963,22670,2574,45156523
2500,1,bangalore,residential,basic,95556,1416,4996,11567,111525,1258,680,1121,3531,2252,294,5195693
1600,2,kolkata,residential,standard,119860,1845,5866,15500,139635,2330,976,1269,4390,2898,514,7173894
4950,3,lucknow,residential,standard,492711,6617,28006,63860,653167,14281,5205,6637,14541,10863,2171,27248185
1800,3,chennai,commercial,premium,423418,6531,24268,53458,228545,5673,2419,2382,13977,11465,1207,20264902
850,1,ahmedabad,commercial,basic,31824,467,1675,3576,38833,583,238,335,1024,736,111,1381776
4150,1,lucknow,residential,basic,97692,1445,5530,15338,200522,3116,1109,1736,3529,2608,510,6008476
1100,4,hyderabad,commercial,basic,180153,2841,11389,27838,193350,3313,1229,1561,7243,4406,572,8510205
1800,2,delhi,residential,standard,145844,2260,8377,20324,152494,2321,1102,1385,5694,3597,517,9445321
750,2,jaipur,industrial,standard,37180,583,2338,5081,66762,989,536,642,1513,898,217,2905544
1650,4,chennai,industrial,basic,173204,2926,10649,24929,325441,4992,1606,2850,5918,4613,863,12722537
2650,1,pune,residential,standard,120116,1763,5971,14520,122540,1928,888,1040,3608,3092,372,6560112
4750,3,mumbai,commercial,premium,1293513,22519,73253,169415,607578,15915,6455,5166,48783,29211,3038,64983766
4950,2,lucknow,residential,premium,403641,6852,22293,47597,435676,9494,5092,3872,18107,9443,1953,27218173
1900,1,kolkata,residential,basic,56643,843,3215,5958,90485,1023,523,715,1792,1384,237,3042109
3750,2,bangalore,residential,basic,285450,4050,13993,41260,336290,5487,1856,2841,9800,6005,842,15159492
550,1,jaipur,commercial,premium,34947,451,1625,4182,27383,696,305,239,1335,843,123,1601822
4900,2,lucknow,commercial,standard,375592,5874,22238,44754,440573,7029,2979,3946,16754,9380,1574,19212389
2900,1,delhi,commercial,standard,177643,2374,9627,18001,129213,2160,991,1154,5863,4094,409,8126715
500,4,ahmedabad,residential,premium,100958,1593,5624,13401,95895,2506,1050,729,2966,2582,425,6517488
1900,2,chennai,commercial,standard,209844,3058,12588,31529,189180,2851,1354,1392,6620,5176,531,9591265
1900,1,chennai,commercial,premium,142844,2355,8926,20777,76127,2218,862,847,5293,3384,420,7264293
3350,1,delhi,residential,standard,144352,2178,9025,18875,139370,2668,1182,1238,5016,3250,466,8726854
1400,1,jaipur,commercial,basic,49794,694,2474,5187,67221,710,346,500,1727,1147,172,2035074
4200,1,chennai,residential,standard,164710,2513,10711,25964,172344,2704,1430,1824,6308,4797,650,10654905
2150,2,kolkata,commercial,standard,197020,2833,10026,24522,201691,4270,1371,1680,6741,5169,653,9611109
3950,1,hyderabad,commercial,standard,198356,3069,10921,24248,177479,2928,1572,1416,7294,5093,635,10095400
4950,1,jaipur,residential,premium,223026,3729,12746,30066,245820,4938,2226,2107,8863,5247,1127,15087400
800,2,mumbai,residential,basic,70018,923,3299,9193,64005,1178,480,628,2410,1557,191,3988191
4450,1,pune,residential,premium,275547,4419,14875,28716,183527,4560,2112,1630,10559,7203,932,17751397
4100,1,jaipur,residential,standard,137903,1884,6848,18539,204883,3608,1572,1502,4818,3286,573,8121292
2150,1,pune,commercial,standard,118345,1923,7115,17062,98376,2003,704,846,4437,2669,334,5468557
1900,3,jaipur,residential,standard,193263,3003,9199,20476,255547,5529,2150,2204,6256,4776,793,11151987
1300,2,mumbai,residential,standard,136817,2024,8143,18640,120154,2217,1016,926,4337,3582,407,7976554
2600,2,chennai,residential,premium,314931,4942,16556,40551,222114,6831,2799,2136,11979,7487,1112,19467620
4500,1,kolkata,residential,standard,149957,2567,9683,20993,217209,3979,1631,2017,6604,3838,673,9995349
1950,2,bangalore,residential,basic,147049,2394,7831,17969,167809,3080,1052,1597,5140,3330,435,7830310
4200,5,jaipur,residential,standard,697140,11138,34536,80606,933975,20276,6755,7486,28766,15833,2930,43026608
1450,1,kolkata,residential,standard,50360,824,3030,6619,69465,1405,510,580,2033,1381,213,3163080
4250,2,delhi,residential,premium,486238,8109,29756,74194,416727,7203,4511,3213,20094,13210,1857,36137454
4950,1,hyderabad,residential,basic,154371,2577,9340,24620,233282,2799,1519,2184,5787,3569,537,9031036
2550,2,ahmedabad,residential,premium,257272,3504,14892,33889,237291,5770,2831,2022,9201,5969,994,16623770
3100,2,chennai,residential,standard,276569,4301,14899,35339,279335,4639,2207,2579,8774,6231,864,15897981
